repo,path,branch,commit,files_scanned,candidates
components,C:/dev/components,,,1,0
ireps-academy,C:/dev/ireps-academy,main,753f90f419322093e1b2c5756eebc546f1dda090,67,0
ireps-design-docs,C:/dev/ireps-design-docs,,,0,0
ireps-independent-assessments,C:/dev/ireps-independent-assessments,,,13,0
ireps-mobile,C:/dev/ireps-mobile,feature/meter-normalisation-v1,74a9497dd162e1168bd96878e2a5fd93da315121,461,53
ireps-mobile-auth,C:/dev/ireps-mobile-auth,feature/mobile-auth,7bc9884325ff3db9bfe4493062f2450d8a7c83c0,427,56
ireps-mobile-email,C:/dev/ireps-mobile-email,feature/change-email,9a981d1882c388043bae6021a1dd33a3e758dfa8,447,54
ireps-mobile-forms,C:/dev/ireps-mobile-forms,feature/local-dropdown-lists,824f1127eb69aad641c67d6ef8a325c1331caff3,454,49
ireps-mobile-wo-v2,C:/dev/ireps-mobile-wo-v2,feature/phone-batch-refusal,e19410fd7c98891c4dba5d6fa1373262694bef66,462,53
ireps-pipeline-erfs,C:/dev/ireps-pipeline-erfs,v6-cadastral-orchestrator,9ffd576975af7ec70445d4964119749bf05a6f58,240,0
ireps-pipeline-sales,C:/dev/ireps-pipeline-sales,main,d38ec7897cd95912c2d4bc3234c8a37dbe0be8e7,18,0
ireps-rules,C:/dev/ireps-rules,main,f5dc84e44c9f612fa22f708dcbd2da6fbaafdd1b,46,0
ireps-schemas,C:/dev/ireps-schemas,main,6ad8c444f986c8d271130ffe9f7ef0f50477d194,12,0
ireps-short-bites,C:/dev/ireps-short-bites,,,0,0
ireps-skills,C:/dev/ireps-skills,,,1,0
ireps-user-manual,C:/dev/ireps-user-manual,,,3,0
ireps-web,C:/dev/ireps-web,feature/sales-targeted-batch-v3,ddd3121e2e82334731504e87d755fbdfc29d37ac,612,77
ireps-web-email,C:/dev/ireps-web-email,feature/change-email,f9f0a09be4e3d9363a39977f998aeea296613323,597,76
ireps-web-forms,C:/dev/ireps-web-forms,feature/web-forms-black-text,03d5368ed3f570e4f37a5a666f6583a151e4bbd7,605,76
ireps-web-gmr,C:/dev/ireps-web-gmr,feature/general-monthly-report-v3,7bf54309d4cb8cad1bcc084816e9029e5bf2c32b,577,75
ireps-web-normalisation,C:/dev/ireps-web-normalisation,feature/meter-normalisation-v1,d14992ce4ab608e7688259b33ac4c3a842bce02d,604,76
ireps-website,C:/dev/ireps-website,design/premium-landing-v1,ef9d70ba058b0f69bc881b49d4c0756cac402a32,25,0
src,C:/dev/src,,,1,0
